iterations,subIterations,prototype,techStack,testType,parallel,min,mean,median,max,error
20,5000,BK,Java,read,true,776.0,823.05,804.0,984.0,11.94350765060248
20,5000,BK,Java,read,false,7.0,7.75,7.5,11.0,0.22220486043288973
20,5000,BK,Java,write,true,760.0,818.85,784.5,1212.0,21.682397814817435
20,5000,BK,Java,write,false,3.0,3.65,4.0,5.0,0.1462019151721345
20,5000,BK,Java,mix,true,722.0,830.95,807.0,1111.0,17.236802922816054
20,5000,BK,Java,mix,false,8.0,9.4,9.0,11.0,0.14832396974191323
10,5000,BK,Java,read,true,772.0,881.5,812.5,1438.0,59.91681733870716
10,5000,BK,Java,read,false,7.0,8.1,8.0,10.0,0.26267851073127385
10,5000,BK,Java,write,true,772.0,794.3,779.0,882.0,10.264550647739043
10,5000,BK,Java,write,false,3.0,3.7,4.0,5.0,0.20248456731316586
10,5000,BK,Java,mix,true,779.0,827.6,788.0,932.0,19.81373261149953
10,5000,BK,Java,mix,false,9.0,9.8,10.0,11.0,0.18973665961010275
40,5000,BK,Java,read,true,744.0,806.375,775.5,1539.0,19.220161533530355
40,5000,BK,Java,read,false,7.0,7.775,8.0,10.0,0.10300182037226334
40,5000,BK,Java,write,true,718.0,783.25,763.0,915.0,6.067922832403193
40,5000,BK,Java,write,false,3.0,3.675,4.0,6.0,0.12443622864744815
40,5000,BK,Java,mix,true,756.0,786.05,774.0,850.0,4.463875838327047
40,5000,BK,Java,mix,false,8.0,11.55,10.0,18.0,0.46764035326306047
20,10000,BK,Java,read,true,1538.0,1618.15,1578.5,1998.0,23.07978281960209
20,10000,BK,Java,read,false,14.0,15.35,15.0,19.0,0.23743420141167532
20,10000,BK,Java,write,true,1538.0,1607.05,1564.0,1747.0,15.997261484391634
20,10000,BK,Java,write,false,6.0,7.0,7.0,10.0,0.19999999999999998
20,10000,BK,Java,mix,true,1535.0,1621.65,1571.5,1863.0,18.99569359091686
20,10000,BK,Java,mix,false,17.0,20.4,19.0,33.0,0.8899438184514794
20,20000,BK,Java,read,true,3067.0,3178.7,3159.5,3567.0,21.960658004713792
20,20000,BK,Java,read,false,27.0,36.4,38.0,43.0,1.3386560424545209
20,20000,BK,Java,write,true,3086.0,3151.0,3136.5,3217.0,7.98216762540101
20,20000,BK,Java,write,false,13.0,13.95,14.0,16.0,0.19332614929181208
20,20000,BK,Java,mix,true,3094.0,3227.35,3184.5,3499.0,25.821142015797825
20,20000,BK,Java,mix,false,36.0,45.65,45.0,62.0,2.076385079892456
